"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"204",0.01,1.3,5108.71564210334,4082.686763949,0.191630238217107,0.182955023702147
"205",0.19,0.5,0.936475473050698,5287.82744487145,6.76567427005856e-05,0.434248486953465
"206",0.19,1.4,11694.5966027137,18922.0544067184,0.42838821545795,0.827677923015352
"207",0.19,1.5,15613.7928084625,20370.4510590686,0.559444494447223,0.874224147693357
"208",0.19,1.6,19025.7073231663,21526.5094333263,0.670051048409607,0.907864363515163
"209",0.19,1.7,21673.5869569487,22446.8008782992,0.750638812774368,0.933297754319112
"210",0.19,1.8,23718.54256,23182.63709,0.810958334955677,0.951212749673468
"211",0.19,1.9,25317.7243175,23775.20155074,0.854688126562175,0.965313780024282
"212",0.19,2,26573.5659876994,24256.7161964904,0.88749996799442,0.974476827796829
"213",0.19,-1,33165.8168568573,27239.9983925183,1,0.993060218246989
"214",0.19,0.6,4.20566092689002,6536.98694022473,0.00024929463272225,0.449724005386582
"215",0.19,0.7,19.1099888340463,7643.82524747507,0.000995059441762678,0.46510407379031
"216",0.19,0.8,85.1862082953063,8762.40169649778,0.00404790996910649,0.488545953321452
"217",0.19,0.9,328.040977550386,10031.4706080254,0.0145115731904911,0.523935856330687
"218",0.19,1,1022.02127634166,11553.2015399507,0.0427299687958714,0.572647104766004
"219",0.19,1.1,2512.78312525498,13318.7160557962,0.100598263269922,0.633406733693592
"220",0.19,1.2,4887.72594155175,15234.9547416706,0.189232793943329,0.701124766050698
"221",0.19,1.3,8014.00684067363,17168.0251192526,0.300609027305252,0.769340540731024
"222",0.2,0.5,0.434753952309295,5270.64360146033,3.14092970247607e-05,0.432837310420358
"223",0.2,1.4,8251.47984781551,17633.6451468458,0.302262390655927,0.771321045623304
"224",0.2,1.5,11688.5906029488,19227.955248599,0.418803921691795,0.825192468264424
"225",0.2,1.6,15341.941908068,20555.2885553707,0.540315483967481,0.866903852619108
"226",0.2,1.7,18598.4545733898,21630.1949898771,0.644135273415434,0.899344744892058
"227",0.2,1.8,21177.72954,22499.17759,0.724085649126835,0.923169547005817
"228",0.2,1.9,23196.8747485832,23204.6029456974,0.78309144899172,0.942146502340653
"229",0.2,2,24799.4673282399,23780.830031815,0.828248887269384,0.955358822029322
"230",0.2,-1,33137.8736279643,27352.7431221992,0.999157468998469,0.997170435298025
"231",0.2,0.6,1.88601011802454,6487.64550614186,0.000111795079978322,0.446329470936662
"232",0.2,0.7,8.14873315454584,7534.47296701135,0.000424305525986984,0.458450312162421
"233",0.2,0.8,35.6660312734835,8544.61244891017,0.00169479175607764,0.476403157399601
"234",0.2,0.9,144.062880306167,9631.16587352833,0.00637292038088378,0.503028253442018
"235",0.2,1,486.136745757161,10898.3893571831,0.0203250249848866,0.540190620792214
"236",0.2,1.1,1334.29574755076,12395.9592665889,0.0534179943915486,0.589522596409126
"237",0.2,1.2,2936.73929934382,14078.5883548601,0.113698556208651,0.647907862806226
"238",0.2,1.3,5282.95107875427,15864.1496086506,0.198165888382504,0.710910739783939
"239",0.21,0.5,0.2028012239443,5257.35139190671,1.46516066064877e-05,0.431745723762679
"240",0.21,1.4,5539.29759894103,16362.2185383801,0.202911643207104,0.715707013872729
"241",0.21,1.5,8325.80666520191,17982.5039012113,0.298314878250127,0.771742319344975
